INCROWID,VNAME,BUNAME,SINAME,PRIORITY,STATUS,INCIDENTTYPENAME,INCIDENTCATNAME,INCIDENTTITLE,INCIDENTDETAILS,OCCUREDDATE,OCCUREDTIME,REPORTEDDATE,REPORTEDTIME,LASTUPDATEDDATE,LASTUPDATEDTIME,MONTH,QUARTER,YEAR,LNAME,LEVELNAME,ZNAME,INCIDENTID,REPORTEDBY,INCIDENTTYPENAME_DISPLAY,INCIDENTCATNAME_DISPLAY,INCIDENTCOUNT,MONTHNAME,VCODE,BUCODE,SICODE,DSRDATE
1460,VEDANTA LIMITED,Hindustan Zinc Limited,CLZS(CHANDERIYA),LOW,CLOSED,SECURITY INCIDENTS,Access Control,"Access Control at CLZS(CHANDERIYA) site at 01 Oct 2023, 2:25 PM","Vehicle No. RJ14GG8217 driver is changed in the system. The driver who is on ground Name:- SHYAM LAL GADAR , License no. RJ0920110076475 but in system driver who is registered is Name as :- Mukesh Kumar chamar, License no. RJ0920110075098.",2023-10-01,14:25,2023-10-01,16:25,2024-01-09,13:09,10,Q3,2023,HYDRO-2,Low,HYDRO-2,143,Pinal  Prajapati,SCR- INC,ACCESS,1,OCT,VL,HZL,CLZS,2023-10-01
1660,VEDANTA LIMITED,Hindustan Zinc Limited,RDC,LOW,CLOSED,SECURITY INCIDENTS,ASSET/PROPERTY,"ASSET/PROPERTY at RDC site at 02 Oct 2023, 8:20 PM","Through CCTV Control Room LSG Aanchal Singh saw 02 suspects outside the Scrap Yard boundary wall, they were entering inside the scrap yard through boundary wall with the intention of theft from scrap yard. CCTV Operator immediately informed to Shift in-charge. After that, SS Nasar Hussain and SS Baljinder Singh along with SG Sarabjit Singh and SG Janak Bahadur reached there, but perpetrators saw movement of security team and Security Team tried to chase them, but perpetrators ran away by taking the advantages of dense vegetation. The area was searched thoroughly but nothing was found. No theft took place. Surveillance was increased in that area. ",2023-10-02,20:20,2024-01-20,11:11,2024-01-20,05:46,10,Q3,2023,Scrap yard,Medium,SKM,343,Garvita  Ameta,SCR- INC,ASSET,1,OCT,VL,HZL,RDC,2023-10-02
1678,VEDANTA LIMITED,Hindustan Zinc Limited,RDC,LOW,CLOSED,NON-SECURITY INCIDENTS-IR/PR,IR,IR at RDC site at 2023-11-07 08:55, Workers of M/s Reliant Company at Shaft allocation point regarding internal conflict. M/s Reliant company workers raised their concern about the enquiry that has not been done regarding the conflict between two workers of M/s Reliant company. After being addressed by management they went to work around 09:20 hrs.,2023-11-07,08:55,2024-01-20,14:03,2024-01-20,08:36,11,Q3,2023,Mine Shaft,Medium,SKM,361,Garvita  Ameta,IR/PR,IR,1,NOV,VL,HZL,RDC,2023-11-07
1679,VEDANTA LIMITED,Hindustan Zinc Limited,RDC,LOW,CLOSED,NON-SECURITY INCIDENTS-IR/PR,IR,IR at RDC site at 2023-11-08 08:45,"Workers of M/s NG Gadhiya company gathered and did tool down at shaft allocation point regarding the workers didn't received salary yet. After being addressed by union members, workers went to work around 09:31 hrs.",2023-11-08,08:45,2024-01-20,14:06,2024-01-20,08:38,11,Q3,2023,Mine Shaft,Medium,SKM,362,Garvita  Ameta,IR/PR,IR,1,NOV,VL,HZL,RDC,2023-11-08
1680,VEDANTA LIMITED,Hindustan Zinc Limited,RDC,LOW,CLOSED,NON-SECURITY INCIDENTS-IR/PR,IR,IR at RDC site at 2023-11-08 08:45,"Workers of M/s NG Gadhiya company gathered and did tool down at shaft allocation point regarding the workers didn't received salary yet. After being addressed by union members, workers went to work around 09:31 hrs.",2023-11-08,08:45,2024-01-20,14:06,2024-01-20,08:38,11,Q3,2023,Mine Shaft,Medium,SKM,363,Garvita  Ameta,IR/PR,IR,1,NOV,VL,HZL,RDC,2023-11-08
1687,VEDANTA LIMITED,Hindustan Zinc Limited,RDC,LOW,CLOSED,NON-SECURITY INCIDENTS-IR/PR,IR,IR at RDC site at 2023-12-07 16:20,Tool down was done by M/s Group R company workers from 16:20 hrs. to 17:10 hrs. due to punch blocking related issue with a worker. After discussion with the management team workers went to work.,2023-12-07,16:20,2024-01-20,14:42,2024-01-20,09:18,12,Q3,2023,Mine Shaft,Medium,SKM,370,Garvita  Ameta,IR/PR,IR,1,DEC,VL,HZL,RDC,2023-12-07
1688,VEDANTA LIMITED,Hindustan Zinc Limited,RDC,LOW,CLOSED,NON-SECURITY INCIDENTS-IR/PR,IR,PR - Political/ Social at RDC site at 2023-12-20 13:42,"Around 13:42 hrs., Ore transportation through COSP to PCH was stopped by bheruji mandir priest due to dust issue. After water sprinkling on road and convince to priest, ore transportation to be resumed around 13:58 hrs.",2023-12-20,13:42,2024-01-20,14:49,2024-01-20,09:20,12,Q3,2023,Pastefill,Medium,SKM,371,Garvita  Ameta,IR/PR,IR,1,DEC,VL,HZL,RDC,2023-12-20
1691,VEDANTA LIMITED,Hindustan Zinc Limited,RDC,LOW,CLOSED,NON-SECURITY INCIDENTS-IR/PR,IR,PR - Political/ Social at RDC site at 2023-12-31 13:30,"Around 13:30 hrs. Ratan Lal Gadri along with his family members reached Tailing Dam and planted stones for fencing on land area that is owned by HZL and comes under Tailing Dam. He claims that land to be his, following the incident QRT along with shift in charge reached the spot. Land team called upon and police was informed. ASI Jaswant Singh asked Mr. Ratan to report police station. A formal complaint has been lodged to Railmagra police station with consultation with land team. ",2023-12-31,13:30,2024-01-20,15:01,2024-01-20,09:32,12,Q3,2023,Tailing Dam,Medium,SKM,374,Garvita Ameta,IR/PR,IR,1,DEC,VL,HZL,RDC,2023-12-31
1695,VEDANTA LIMITED,Hindustan Zinc Limited,PMP,LOW,CLOSED,SECURITY INCIDENTS,SOP- LSR Violation,"SOP- LSR Violation at PMP site at 07 Apr 2023, 9:57 PM","On dated 07.04.2023 around 2157hrs during surprise checking of employee buses at main gate, 01 driver of Vaaman shift- bus found under the influence of alcohol. He was found positive (0.286mg/L). Details of the person are given below-

Name- Akash
Driving License Number- UK0620170009010",2023-04-07,21:57,2024-01-22,20:42,2024-01-22,15:26,4,Q1,2023,Main gate,Medium,UIC-3 (Common Area),378,Anmol  Ratan,SCR- INC,SOP- LSR,1,APR,VL,HZL,PMP,2023-04-07
1805,VEDANTA LIMITED,Hindustan Zinc Limited,RAM AGUCHA,LOW,CLOSED,SECURITY INCIDENTS,ASSET/PROPERTY,ASSET/PROPERTY at RAM AGUCHA site at 2024-01-26 11:30,"On 26th January, at around 1130 hrs., call received from admin head reporting that the locks of 2B-50 & 2B-33 were found broken. The owner of 2B-33 claimed that a pair of gold earrings was missing.  Nothing was missing from 2B-50.",2024-01-26,11:30,2024-01-29,10:22,2024-01-29,05:18,1,Q4,2024,ZN COLONY,Low,ZONE-5,488,Priyadarshini  Chundawat,SCR- INC,ASSET,1,JAN,VL,HZL,RAM ,2024-01-26
